iter	RMSE
0	75977.27564
1	72817.26923
2	70163.26516
3	68352.86494
4	65223.95984
5	62592.92707
6	60549.34169
7	59168.37537
8	57220.0528
9	55565.69735
10	54918.59458
11	53628.02104
12	52241.296
13	50823.09708
14	49510.91052
15	48410.08418
16	47279.35532
17	46527.67483
18	45372.82753
19	44413.52733
20	43418.42576
21	42470.18741
22	41309.94624
23	40539.34656
24	39992.43608
25	38888.43854
26	38074.50466
27	37595.29352
28	36808.94073
29	36262.83852
30	35543.79901
31	34832.10377
32	34316.17039
33	34011.08806
34	33712.63791
35	33557.59164
36	33157.30633
37	32540.62502
38	32065.29758
39	31767.79789
40	31436.19193
41	31202.57392
42	31033.99857
43	30951.61918
44	30862.63397
45	30560.43532
46	30370.89055
47	30306.09534
48	30033.16265
49	29650.95929
50	29270.2684
51	28871.47178
52	28487.26199
53	28294.1095
54	28108.10944
55	27963.86634
56	27818.53583
57	27742.58557
58	27449.32891
59	27246.79763
60	27030.60137
61	26877.14389
62	26447.78369
63	26407.29553
64	26244.83423
65	26110.87269
66	26007.47636
67	25871.68862
68	25671.28919
69	25631.66894
70	25372.29209
71	25240.51066
72	25234.87726
73	24989.25019
74	24754.05405
75	24597.90655
76	24576.48056
77	24447.21861
78	24247.85696
79	24166.83742
80	24109.39725
81	23936.10706
82	23870.98553
83	23797.45518
84	23710.43083
85	23615.34687
86	23529.31505
87	23324.27915
88	23164.07684
89	23135.04
90	23067.93783
91	23067.93704
92	23001.2769
93	22850.26139
94	22784.54781
95	22697.53347
96	22623.80461
97	22485.37683
98	22329.25339
99	22176.47997
100	22110.32673
101	22015.33655
102	21885.23244
103	21699.7463
104	21520.30995
105	21491.25598
106	21388.64529
107	21364.77888
108	21292.88539
109	21185.6686
110	21023.76776
111	20890.38408
112	20738.17866
113	20631.48964
114	20547.88087
115	20392.9703
116	20262.20896
117	20091.31496
118	19982.91564
119	19791.86119
120	19606.42669
121	19464.11782
122	19316.93139
123	19182.77568
124	19079.27393
125	19015.26661
126	18945.42737
127	18845.65412
128	18777.21888
129	18655.72252
130	18550.15232
131	18422.68292
132	18334.02366
133	18220.64918
134	18116.9345
135	18014.75857
136	17886.94682
137	17831.49424
138	17750.84528
139	17667.52748
140	17589.36821
141	17515.12295
142	17470.16958
143	17405.07647
144	17307.3422
145	17244.49382
146	17143.34511
147	17090.50246
148	17008.20471
149	16941.56214
150	16883.03684
151	16801.28044
152	16754.65716
153	16697.5129
154	16608.0942
155	16535.19432
156	16446.06571
157	16426.30673
158	16364.08084
159	16312.24372
160	16272.19833
161	16236.97149
162	16175.82756
163	16116.49465
164	16071.19297
165	15973.18861
166	15919.93198
167	15846.72301
168	15816.68777
169	15790.3357
170	15717.13431
171	15683.09908
172	15638.27151
173	15623.22603
174	15570.34449
175	15511.45307
176	15455.38089
177	15411.04283
178	15345.32702
179	15331.77974
180	15265.59196
181	15182.05227
182	15149.67521
183	15127.3188
184	15109.14656
185	15051.31269
186	15012.49937
187	14975.9424
188	14948.49548
189	14924.11531
190	14874.35003
191	14832.82687
192	14799.78681
193	14771.97812
194	14722.34265
195	14674.25361
196	14584.87438
197	14523.78748
198	14514.96419
199	14489.59229
200	14433.28656
201	14409.00001
202	14361.09423
203	14349.87961
204	14310.23935
205	14263.39235
206	14252.95763
207	14220.5843
208	14215.31424
209	14182.82163
210	14161.13053
211	14142.97423
212	14135.41852
213	14108.08871
214	14088.74838
215	14051.13506
216	14018.69533
217	13963.22937
218	13916.03953
219	13905.5641
220	13871.60316
221	13866.58521
222	13849.78614
223	13818.7965
224	13782.79165
225	13727.40923
226	13694.84552
227	13636.66876
228	13552.57928
229	13511.05882
230	13458.45798
231	13411.07677
232	13395.92479
233	13359.176
234	13329.71484
235	13315.92717
236	13297.31818
237	13239.95021
238	13222.6561
239	13198.7293
240	13198.15338
241	13169.62789
242	13149.88991
243	13122.72063
244	13105.28325
245	13104.32071
246	13097.78343
247	13072.39397
248	13048.67435
249	12987.27411
250	12964.65022
251	12955.86778
252	12917.67286
253	12902.629
254	12865.4639
255	12848.70951
256	12783.51867
257	12734.41144
258	12727.06959
259	12700.89569
260	12655.88544
261	12612.30427
262	12575.86382
263	12551.57326
264	12534.42871
265	12519.64555
266	12484.35169
267	12464.45389
268	12442.12011
269	12421.29385
270	12417.05401
271	12376.41159
272	12368.88638
273	12343.98064
274	12339.21061
275	12296.59789
276	12295.76177
277	12237.07254
278	12204.15179
279	12178.74706
280	12162.62892
281	12131.2571
282	12095.8865
283	12051.53505
284	12041.87507
285	12030.75131
286	12009.68188
287	11992.57588
288	11981.62027
289	11961.77881
290	11947.23414
291	11918.29276
292	11912.33667
293	11896.31105
294	11880.7516
295	11848.2796
296	11810.27733
297	11798.99541
298	11764.20002
299	11746.42737
300	11731.74074
301	11698.97786
302	11671.86764
303	11641.94629
304	11618.38627
305	11586.05065
306	11574.87156
307	11559.49189
308	11547.39843
309	11522.29725
310	11520.19241
311	11482.94007
312	11468.32885
313	11439.07736
314	11414.05398
315	11381.66027
316	11348.98989
317	11330.33085
318	11306.00826
319	11298.8576
320	11272.61259
321	11258.55842
322	11220.53773
323	11192.21441
324	11181.47878
