iter	Passed	Remaining
0	47	15316
1	100	16254
2	155	16715
3	207	16675
4	261	16727
5	310	16503
6	363	16534
7	384	15229
8	430	15127
9	484	15274
10	498	14233
11	533	13909
12	581	13951
13	637	14159
14	688	14233
15	742	14346
16	770	13966
17	820	13991
18	873	14065
19	930	14187
20	985	14259
21	1036	14270
22	1089	14311
23	1140	14308
24	1158	13903
25	1208	13895
26	1264	13951
27	1282	13600
28	1329	13571
29	1376	13531
30	1428	13548
31	1474	13500
32	1527	13517
33	1582	13541
34	1607	13316
35	1641	13177
36	1689	13152
37	1739	13135
38	1771	12993
39	1797	12809
40	1849	12810
41	1902	12817
42	1954	12815
43	1967	12566
44	1984	12347
45	2032	12327
46	2072	12258
47	2090	12065
48	2144	12081
49	2193	12064
50	2247	12075
51	2297	12061
52	2349	12056
53	2399	12041
54	2438	11971
55	2457	11806
56	2506	11783
57	2556	11768
58	2608	11761
59	2659	11746
60	2708	11721
61	2758	11699
62	2807	11674
63	2828	11533
64	2875	11500
65	2924	11478
66	2976	11463
67	3026	11438
68	3080	11429
69	3100	11295
70	3144	11248
71	3198	11240
72	3218	11111
73	3265	11076
74	3317	11057
75	3369	11039
76	3390	10921
77	3438	10888
78	3487	10859
79	3516	10770
80	3564	10738
81	3615	10713
82	3669	10697
83	3683	10566
84	3728	10528
85	3782	10513
86	3838	10499
87	3876	10439
88	3928	10418
89	3954	10326
90	4001	10290
91	4009	10155
92	4057	10121
93	4108	10095
94	4158	10068
95	4214	10053
96	4264	10024
97	4318	10002
98	4367	9969
99	4420	9946
100	4440	9849
101	4488	9814
102	4541	9789
103	4591	9756
104	4642	9727
105	4663	9635
106	4711	9599
107	4729	9502
108	4761	9436
109	4802	9386
110	4854	9359
111	4903	9324
112	4954	9294
113	5004	9263
114	5062	9245
115	5112	9211
116	5158	9170
117	5209	9139
118	5261	9107
119	5306	9065
120	5355	9028
121	5397	8980
122	5449	8950
123	5495	8907
124	5547	8875
125	5598	8842
126	5651	8810
127	5697	8768
128	5742	8725
129	5791	8687
130	5837	8645
131	5885	8605
132	5931	8562
133	5982	8526
134	6035	8494
135	6080	8449
136	6132	8415
137	6177	8371
138	6230	8337
139	6278	8296
140	6332	8264
141	6382	8225
142	6435	8190
143	6483	8148
144	6531	8108
145	6573	8059
146	6625	8022
147	6676	7985
148	6730	7950
149	6781	7911
150	6832	7872
151	6883	7834
152	6938	7799
153	6996	7768
154	7049	7731
155	7100	7691
156	7152	7653
157	7203	7613
158	7256	7575
159	7307	7535
160	7359	7496
161	7408	7454
162	7460	7414
163	7512	7374
164	7567	7338
165	7617	7295
166	7667	7253
167	7717	7212
168	7772	7174
169	7824	7133
170	7874	7091
171	7940	7063
172	8008	7036
173	8064	6998
174	8112	6953
175	8167	6914
176	8219	6873
177	8265	6826
178	8314	6781
179	8366	6739
180	8414	6694
181	8466	6651
182	8515	6608
183	8569	6567
184	8617	6521
185	8665	6476
186	8715	6431
187	8769	6390
188	8815	6343
189	8866	6299
190	8917	6256
191	8969	6213
192	9023	6171
193	9075	6128
194	9129	6086
195	9180	6042
196	9237	6001
197	9287	5957
198	9336	5911
199	9381	5863
200	9428	5816
201	9479	5772
202	9529	5726
203	9579	5681
204	9633	5638
205	9684	5594
206	9735	5549
207	9786	5504
208	9840	5461
209	9890	5415
210	9940	5370
211	9985	5322
212	10036	5277
213	10082	5229
214	10132	5184
215	10184	5139
216	10237	5094
217	10282	5047
218	10334	5002
219	10384	4956
220	10436	4911
221	10487	4865
222	10542	4821
223	10592	4775
224	10645	4731
225	10696	4685
226	10740	4636
227	10793	4591
228	10846	4547
229	10898	4501
230	10952	4456
231	11005	4411
232	11054	4365
233	11106	4319
234	11157	4273
235	11212	4228
236	11265	4182
237	11312	4135
238	11362	4088
239	11413	4042
240	11463	3995
241	11512	3948
242	11558	3900
243	11611	3854
244	11660	3807
245	11713	3761
246	11776	3718
247	11833	3674
248	11889	3628
249	11945	3583
250	11997	3537
251	12049	3490
252	12100	3443
253	12151	3396
254	12201	3349
255	12251	3302
256	12299	3254
257	12352	3207
258	12402	3160
259	12456	3114
260	12507	3066
261	12560	3020
262	12609	2972
263	12664	2926
264	12715	2878
265	12767	2831
266	12820	2784
267	12871	2737
268	12933	2692
269	12993	2646
270	13058	2602
271	13122	2556
272	13180	2510
273	13242	2464
274	13346	2426
275	13392	2377
276	13442	2329
277	13492	2281
278	13543	2232
279	13597	2185
280	13647	2136
281	13701	2089
282	13752	2040
283	13805	1993
284	13857	1944
285	13907	1896
286	13961	1848
287	14015	1800
288	14067	1752
289	14118	1703
290	14170	1655
291	14221	1607
292	14273	1558
293	14324	1510
294	14378	1462
295	14430	1413
296	14485	1365
297	14535	1316
298	14590	1268
299	14642	1220
300	14697	1171
301	14746	1123
302	14798	1074
303	14842	1025
304	14892	976
305	14942	927
306	14995	879
307	15047	830
308	15099	781
309	15150	733
310	15203	684
311	15254	635
312	15308	586
313	15365	538
314	15416	489
315	15465	440
316	15513	391
317	15563	342
318	15617	293
319	15667	244
320	15718	195
321	15768	146
322	15820	97
323	15871	48
324	15925	0
