iter	Passed	Remaining
0	4	4967
1	9	4794
2	14	4762
3	18	4660
4	23	4608
5	27	4626
6	32	4626
7	37	4650
8	42	4637
9	46	4586
10	50	4541
11	54	4485
12	58	4444
13	62	4413
14	66	4378
15	70	4352
16	74	4322
17	78	4298
18	82	4270
19	86	4248
20	90	4237
21	94	4219
22	98	4203
23	102	4183
24	107	4176
25	111	4165
26	115	4158
27	119	4147
28	123	4147
29	128	4156
30	132	4157
31	137	4156
32	141	4143
33	145	4129
34	149	4118
35	153	4110
36	157	4099
37	161	4087
38	165	4081
39	170	4084
40	174	4073
41	178	4066
42	182	4056
43	186	4048
44	190	4043
45	194	4033
46	198	4025
47	202	4017
48	206	4013
49	210	4004
50	214	3997
51	218	3990
52	222	3982
53	226	3975
54	231	3970
55	235	3962
56	239	3955
57	243	3948
58	247	3943
59	251	3936
60	255	3931
61	259	3924
62	263	3918
63	267	3911
64	271	3905
65	275	3900
66	279	3892
67	283	3885
68	287	3882
69	291	3876
70	295	3870
71	299	3865
72	304	3861
73	308	3855
74	312	3849
75	316	3845
76	320	3839
77	324	3836
78	328	3830
79	332	3825
80	336	3821
81	340	3815
82	344	3809
83	348	3804
84	352	3798
85	357	3795
86	361	3789
87	365	3784
88	369	3778
89	373	3774
90	377	3769
91	381	3765
92	385	3760
93	389	3754
94	393	3750
95	398	3748
96	402	3743
97	406	3738
98	410	3733
99	414	3728
100	418	3722
101	422	3717
102	426	3712
103	430	3706
104	434	3701
105	438	3695
106	442	3691
107	446	3686
108	450	3681
109	454	3676
110	458	3672
111	462	3666
112	466	3662
113	470	3657
114	474	3652
115	478	3647
116	482	3643
117	486	3638
118	490	3634
119	494	3629
120	498	3623
121	502	3619
122	506	3613
123	510	3609
124	514	3604
125	518	3599
126	522	3594
127	526	3589
128	530	3584
129	534	3579
130	538	3574
131	542	3569
132	546	3563
133	550	3559
134	554	3554
135	558	3549
136	563	3546
137	567	3545
138	571	3542
139	576	3539
140	580	3536
141	584	3533
142	589	3531
143	593	3528
144	598	3528
145	602	3524
146	607	3522
147	611	3519
148	615	3516
149	620	3513
150	624	3510
151	628	3507
152	633	3504
153	637	3502
154	641	3498
155	646	3498
156	650	3495
157	655	3492
158	660	3492
159	665	3491
160	669	3489
161	673	3485
162	678	3483
163	682	3479
164	686	3476
165	691	3472
166	695	3468
167	699	3466
168	704	3464
169	709	3462
170	713	3459
171	717	3456
172	720	3446
173	725	3442
174	729	3439
175	733	3435
176	738	3432
177	742	3428
178	746	3424
179	750	3418
180	754	3414
181	758	3410
182	762	3406
183	766	3401
184	770	3396
185	775	3392
186	779	3387
187	783	3382
188	787	3378
189	791	3373
190	795	3368
191	799	3364
192	803	3360
193	807	3355
194	811	3351
195	816	3347
196	820	3342
197	824	3337
198	828	3332
199	831	3327
200	835	3322
201	840	3318
202	844	3313
203	848	3308
204	852	3304
205	855	3299
206	859	3294
207	864	3290
208	867	3284
209	872	3280
210	875	3275
211	879	3270
212	883	3265
213	887	3258
214	890	3252
215	894	3247
216	898	3242
217	902	3238
218	906	3233
219	910	3229
