iter	CrossEntropy
0	0.5724332145
1	0.5016422915
2	0.4576569461
3	0.4359240585
4	0.4094435874
5	0.3927677455
6	0.3785561551
7	0.3710582605
8	0.3662688009
9	0.3609847165
10	0.3563927211
11	0.349791216
12	0.3471014473
13	0.3415325465
14	0.3381007334
15	0.3316737829
16	0.3280162383
17	0.325928313
18	0.3255032314
19	0.3223521415
20	0.3203669344
21	0.3191085558
22	0.3166958241
23	0.31344043
24	0.3125109726
25	0.3115712712
26	0.3102316696
27	0.3059455357
28	0.305259276
29	0.3006102315
30	0.2995557464
31	0.2973946346
32	0.2936369221
33	0.2924124257
34	0.2874872872
35	0.2812053809
36	0.2788623638
37	0.2767605299
38	0.2750967862
39	0.273313158
40	0.2704208031
41	0.2694792372
42	0.2686765221
43	0.2643186162
44	0.262338124
45	0.2589852837
46	0.2557252605
47	0.2537637346
48	0.2514166671
49	0.2509156559
50	0.2483709957
51	0.2443200444
52	0.243294148
53	0.242173227
54	0.2416562498
55	0.2406524487
56	0.2390273448
57	0.237081292
58	0.2329288011
59	0.2309606316
60	0.229765967
61	0.2277844033
62	0.2260613174
63	0.2235900579
64	0.2206895593
65	0.2182626831
66	0.2143199363
67	0.2126172526
68	0.2102614199
69	0.2057751216
70	0.2039263007
71	0.2029054192
72	0.2023899207
73	0.2014668497
74	0.1988844282
75	0.1985542212
76	0.1974393223
77	0.1950087815
78	0.192816445
79	0.1914578556
80	0.1906337095
81	0.1897017661
82	0.1884246569
83	0.188102315
84	0.186884205
85	0.1861571837
86	0.184861301
87	0.1832815878
88	0.1825114047
89	0.1812595625
90	0.1806171503
91	0.1798336801
92	0.1785375831
93	0.1774603169
94	0.1765957093
95	0.1764963129
96	0.1757678128
97	0.174564008
98	0.1737704331
99	0.1731452513
100	0.1719464291
101	0.1711979662
102	0.1696888141
103	0.1686633464
104	0.166824598
105	0.1658633371
106	0.1649896215
107	0.1638266853
108	0.1622590376
109	0.1615196185
110	0.1608528716
111	0.1599348475
112	0.1592302644
113	0.1580812476
114	0.1568686239
115	0.1559329301
116	0.1548815416
117	0.1538971676
118	0.1537213272
119	0.1531019747
120	0.1521456108
121	0.1515669233
122	0.1513108564
123	0.1506357514
124	0.1500043976
125	0.1484211482
126	0.1465898792
127	0.1462507569
128	0.1459992762
129	0.1450984826
130	0.1436305314
131	0.1426981165
132	0.1423352274
133	0.1416022269
134	0.1405107948
135	0.1395163375
136	0.1388287919
137	0.1379222441
138	0.137270831
139	0.1365291295
140	0.1361410055
141	0.135556146
142	0.1348801624
143	0.1345439225
144	0.1333366351
145	0.1330238728
146	0.1326439032
147	0.1322639015
148	0.1315940685
149	0.1311563856
150	0.1306994792
151	0.130244898
152	0.1295438081
153	0.1283595482
154	0.127302502
155	0.1265146813
156	0.1258360831
157	0.1256241209
158	0.1250168125
159	0.1244705072
160	0.123113
161	0.1224756884
162	0.1218711124
163	0.1215990259
164	0.1212021474
165	0.1207490342
166	0.1206224849
167	0.119482019
168	0.1188413856
169	0.1187454395
170	0.1178119852
171	0.1169055339
172	0.1166756341
173	0.115973644
174	0.1150723361
175	0.1142650347
176	0.1139062817
177	0.1134416387
178	0.1132948586
179	0.1126817425
180	0.1123973332
181	0.1120712945
182	0.1112004827
183	0.1104735685
184	0.1101998211
185	0.1098724858
186	0.1096458435
187	0.1088018525
188	0.1083247153
189	0.1081080276
190	0.1079874039
191	0.1073248145
192	0.1069669188
193	0.1065670613
194	0.1060786729
195	0.105578219
196	0.1051043393
197	0.1046892338
198	0.1045434823
199	0.1044415999
200	0.1038747852
201	0.1033393774
202	0.1024546891
203	0.1022207924
204	0.1014090549
205	0.1009145265
206	0.1008789727
207	0.09987304988
208	0.09958401155
209	0.09948241845
210	0.09876133351
211	0.09833892008
212	0.09820494491
213	0.0978131455
214	0.09750816259
215	0.0974438378
216	0.09683330407
217	0.09627867281
218	0.09598098712
219	0.09578929858
220	0.09571056152
221	0.09555208013
222	0.09539527036
223	0.09517118904
224	0.0949350207
225	0.09486043051
226	0.09446068024
227	0.09407915694
228	0.09386242641
229	0.09349738346
230	0.09236745084
231	0.09220121148
232	0.09197232964
233	0.09123283558
234	0.09095532707
235	0.09082254131
236	0.09061050415
237	0.09028260092
238	0.08992999859
239	0.08981754539
