iter	Passed	Remaining
0	17	4139
1	42	5026
2	70	5536
3	96	5715
4	124	5851
5	151	5895
6	176	5889
7	204	5927
8	232	5963
9	262	6027
10	288	6014
11	313	5952
12	342	5986
13	368	5951
14	399	5986
15	429	6006
16	461	6048
17	489	6032
18	508	5920
19	551	6062
20	599	6255
21	641	6360
22	668	6308
23	697	6275
24	723	6217
25	746	6143
26	776	6125
27	808	6118
28	831	6049
29	863	6045
30	897	6054
31	926	6020
32	953	5980
33	981	5947
34	1006	5892
35	1035	5865
36	1065	5847
37	1097	5835
38	1125	5798
39	1150	5754
40	1178	5718
41	1202	5668
42	1231	5639
43	1257	5600
44	1284	5564
45	1311	5530
46	1334	5481
47	1362	5449
48	1389	5416
49	1418	5391
50	1445	5357
51	1476	5337
52	1503	5303
53	1530	5272
54	1556	5233
55	1587	5215
56	1617	5193
57	1645	5164
58	1670	5125
59	1695	5087
60	1725	5063
61	1753	5033
62	1785	5017
63	1813	4987
64	1836	4943
65	1861	4908
66	1888	4875
67	1915	4845
68	1939	4806
69	1963	4768
70	1990	4737
71	2016	4705
72	2044	4676
73	2070	4644
74	2106	4634
75	2129	4595
76	2158	4570
77	2186	4541
78	2212	4509
79	2237	4475
80	2263	4442
81	2287	4407
82	2316	4381
83	2341	4349
84	2371	4324
85	2398	4294
86	2426	4266
87	2453	4237
88	2485	4217
89	2511	4185
90	2536	4153
91	2567	4130
92	2590	4095
93	2619	4068
94	2646	4039
95	2673	4009
96	2697	3976
97	2728	3953
98	2757	3927
99	2788	3904
100	2817	3876
101	2844	3848
102	2871	3819
103	2898	3790
104	2924	3760
105	2955	3736
106	2981	3705
107	3013	3683
108	3044	3658
109	3076	3635
110	3101	3604
111	3130	3577
112	3154	3545
113	3185	3520
114	3210	3489
115	3236	3460
116	3266	3434
117	3297	3409
118	3324	3380
119	3357	3357
120	3382	3327
121	3409	3297
122	3434	3267
123	3461	3238
124	3487	3208
125	3516	3181
126	3546	3155
127	3572	3126
128	3600	3098
129	3628	3069
130	3652	3039
131	3680	3011
132	3708	2983
133	3736	2955
134	3764	2928
135	3791	2899
136	3817	2869
137	3846	2843
138	3874	2815
139	3901	2786
140	3925	2756
141	3958	2731
142	3984	2702
143	4010	2673
144	4039	2646
145	4069	2620
146	4094	2590
147	4117	2559
148	4142	2530
149	4167	2500
150	4195	2472
151	4220	2443
152	4246	2414
153	4274	2387
154	4302	2359
155	4329	2331
156	4363	2306
157	4389	2278
158	4414	2249
159	4450	2225
160	4483	2199
161	4511	2172
162	4538	2144
163	4566	2116
164	4589	2086
165	4618	2058
166	4644	2030
167	4670	2001
168	4700	1974
169	4733	1948
170	4763	1922
171	4787	1892
172	4815	1865
173	4846	1838
174	4876	1811
175	4905	1783
176	4931	1755
177	4957	1726
178	4984	1698
179	5013	1671
180	5043	1644
181	5073	1616
182	5100	1588
183	5129	1561
184	5159	1534
185	5185	1505
186	5210	1476
187	5239	1449
188	5264	1420
189	5289	1391
190	5313	1363
191	5343	1335
192	5372	1308
193	5397	1279
194	5426	1252
195	5451	1223
196	5478	1195
197	5513	1169
198	5538	1141
199	5568	1113
200	5601	1086
201	5627	1058
202	5654	1030
203	5682	1002
204	5706	974
205	5737	947
206	5764	919
207	5793	891
208	5821	863
209	5851	835
210	5874	807
211	5900	779
212	5926	751
213	5959	724
214	5987	696
215	6010	667
216	6039	640
217	6066	612
218	6093	584
219	6117	556
220	6140	527
221	6169	500
222	6194	472
223	6220	444
224	6248	416
225	6274	388
226	6303	360
227	6329	333
228	6355	305
229	6382	277
230	6409	249
231	6434	221
232	6463	194
233	6488	166
234	6517	138
235	6548	110
236	6571	83
237	6606	55
238	6633	27
239	6662	0
